claim_id,domain,short_name,formal_statement,source_audits,canonical_version,evidence_class,mathematical_status,novelty_status,closest_prior_literature,literature_review_status,proof_location,source_url,computational_support,assumptions_scope,allowed_claim,forbidden_overclaim,physical_status,target_manuscript,editorial_action,priority,repository_status,next_action
MF-R001,Finite graph observability,Degree data do not determine the audited structural profile,"Among loopless labeled digraphs on five vertices, many fixed in/out-degree fibers contain graphs with different audited structural profiles.",A3,A3 legacy baseline,EXACT_ENUMERATION,EXACT_FINITE_COMPUTATION,ORIGINAL_FINITE_COMPUTATION; DEFINITIONS NEED FORMALIZATION,Graph realization and degree-sequence non-uniqueness,PRIOR LITERATURE IDENTIFIED; CLAIM-SPECIFIC SEARCH PENDING,audits/a3_verified_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a3_verified_summary.json,"1,048,576 labeled digraphs; 225,025 degree fibers; 93,167 fibers with residual variation and 95,053 with full-profile variation.",n=5; loopless directed labeled graphs; profile definitions are implementation-specific.,Degree information is insufficient for the particular structural observables audited at n=5.,"A general asymptotic theorem, or a claim that degree data never identify any relevant structure.",COMBINATORIAL ONLY,COMBINATORICS,KEEP AS SUPPORTING ENUMERATION; DEFINE EVERY PROFILE FORMALLY,P1,IN_REPOSITORY,Write explicit mathematical definitions of the residual and full structural profiles before citation.
MF-R002,Finite information compression,Exact finite rate-distortion curves inside degree fibers,"For selected n=5 degree fibers, exact optimization over all 52 partitions yields distortion curves as a function of entropy budget.",A4,A4 legacy exact stage,EXACT_FINITE_OPTIMIZATION,EXACT_FINITE_COMPUTATION,APPLICATION OF CLASSICAL THEORY; NO GENERAL NOVELTY CLAIM,Shannon rate-distortion theory; finite partition optimization,CLASSICAL ATTRIBUTION REQUIRED,audits/a4_exact_results/a4_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a4_exact_results/a4_summary.json,Exact curves for six control graphs and their degree fibers.,"Chosen controls, n=5, chosen distortion and partition family.",The stated finite optimization results are exact for the declared controls.,A new general rate-distortion theorem or a physical information law.,COMBINATORIAL / INFORMATION-THEORETIC,SUPPLEMENT_ONLY,MOVE OUT OF MAIN FOUNDATIONAL NARRATIVE,P3,IN_REPOSITORY,"Specify the distortion functional and explain why these controls matter, or retain only in the repository."
MF-R003,Projective graph laws,Finite projective-family polytope is a simplex,"For a fixed maximum size N with induced-subgraph kernels, a finite projective family (p1,...,pN) is uniquely determined by arbitrary pN and is affinely isomorphic to the full simplex on unlabeled N-vertex classes.",A5,A5 legacy exact stage,PROOF + EXACT_ENUMERATION,PROVED_FOR_DECLARED_FINITE_SYSTEM,LIKELY DIRECT COROLLARY OF PROJECTIVE KERNEL CONSTRUCTION,Finite projective systems; Kolmogorov consistency; convex polytopes,NOVELTY SEARCH REQUIRED BEFORE THEOREM CLAIM,audits/a5_exact_results/a5_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a5_exact_results/a5_summary.json,Composition checked exactly through N=4; polytope dimensions and extreme points enumerated.,Finite top size N; induced-subgraph kernels; no infinite extension claimed by this finite argument.,Finite projectivity alone leaves the top-level distribution unconstrained and therefore does not select a unique law.,"That projectivity never constrains infinite families, or that the result is a new extension theorem.",FOUNDATIONAL MATHEMATICS,FOUNDATIONAL,RECAST AS A SHORT PROPOSITION WITH PRIOR-WORK ATTRIBUTION,P2,IN_REPOSITORY,Compare explicitly with standard projective-limit constructions and exchangeable random graph theory.
MF-R004,Symmetry and law selection,Exchangeability and projectivity do not select a unique graph law,"The independent directed Erdos-Renyi family indexed by p gives a continuum of distinct exchangeable, projective, nondegenerate laws.",A6,A6 legacy symmetry audit,CONSTRUCTIVE_COUNTERFAMILY,PROVED_BY_EXPLICIT_FAMILY,CLASSICAL COUNTEREXAMPLE / DIRECT APPLICATION,Exchangeable random graphs; Aldous-Hoover representation; Erdos-Renyi laws,CLASSICAL ATTRIBUTION REQUIRED,audits/a6_exact_results/a6_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a6_exact_results/a6_summary.json,Finite symmetry-orbit dimensions enumerated through n=4; continuum counterfamily is analytic.,"Directed loopless graph laws; selected reversal/complement symmetries are assumptions, not derived principles.",The listed symmetries and finite projectivity are insufficient for unique law selection.,A claim that no additional principled axiom could select a law.,FOUNDATIONAL MATHEMATICS,FOUNDATIONAL,KEEP AS A SHORT CLASSICAL COUNTEREXAMPLE,P2,IN_REPOSITORY,Cite exchangeability literature and separate the analytic counterfamily from the finite orbit tables.
MF-R005,Order from directed relations,Condensation of a digraph defines a partial order,"Strongly connected components form equivalence classes under mutual reachability, and the condensation graph is acyclic; quotient reachability is a partial order.","A8, A8.1",A8.1 for terminology and counts,CLASSICAL_THEOREM,PROVED / STANDARD,"CLASSICAL; ATTRIBUTE, DO NOT CLAIM NOVELTY",Strongly connected components and condensation DAGs,CLASSICAL ATTRIBUTION REQUIRED,audits/a8_1_exact_results/a8_1_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a8_1_exact_results/a8_1_theorem.md,Implementation self-tests and exhaustive n=5 enumeration support the code.,Finite directed graphs.,A directed relation canonically induces an internal quotient order through SCC condensation.,"Discovery of the SCC condensation theorem, physical time, or a unique temporal arrow.",ORDINAL STRUCTURE ONLY,COMBINATORICS + FOUNDATIONAL,STATE AS BACKGROUND PROPOSITION,P0,IN_REPOSITORY,Use a standard graph-theory citation and remove novelty language.
MF-R006,Order encoding,Full reachability preorder encodes SCC partition and quotient order,The reflexive reachability matrix on the original labeled vertices recovers SCC equivalence from its symmetric part and the condensation order from the quotient.,A8.1,A8.1 canonical,DIRECT_COROLLARY,PROVED,LIKELY CLASSICAL / ELEMENTARY COROLLARY,Finite preorders and quotient posets,NOVELTY CLAIM NOT NEEDED,audits/a8_1_exact_results/a8_1_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a8_1_exact_results/a8_1_theorem.md,Exhaustive code comparison for all n=5 digraphs.,Finite labeled digraphs.,The full labeled reachability preorder is an injective representation of the complete labeled condensation structure.,That the representation is a newly discovered graph invariant.,COMBINATORIAL ONLY,COMBINATORICS,KEEP AS DEFINITIONAL LEMMA,P0,IN_REPOSITORY,
MF-R007,Enumeration of preorders,Count of full labeled condensation preorders,"N_full(n) = sum_{k=1}^n S(n,k) p(k), where S(n,k) counts set partitions and p(k) counts partial orders on k labeled blocks.",A8.1,A8.1 canonical,COMBINATORIAL_PROOF + EXACT_ENUMERATION,PROVED,LIKELY CLASSICAL ENUMERATION OF FINITE PREORDERS,Enumeration of finite preorders and finite topologies,DEDICATED NOVELTY SEARCH REQUIRED; EXPECT CLASSICAL,audits/a8_1_exact_results/a8_1_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a8_1_exact_results/a8_1_theorem.md,"Independent exhaustive enumeration gives N_full(5)=6,942.",Finite labeled sets; every preorder is realizable as reachability of a digraph.,The formula and the n=5 count are correct for full labeled reachability preorders.,Presenting the formula as novel before checking finite-preorder literature.,COMBINATORIAL ONLY,COMBINATORICS,"KEEP, BUT ATTRIBUTE IF PRIOR FORMULA FOUND",P0,IN_REPOSITORY,Search the finite-preorder/topology enumeration literature and OEIS references.
MF-R008,Encoding enumeration,Count of minimum-representative quotient-poset codes,"N_rep(n) = sum_{k=1}^n binom(n-1,k-1) p(k) for the code that stores SCC minima and the quotient order but not full block membership.",A8.1,A8.1 canonical,COMBINATORIAL_PROOF + EXACT_ENUMERATION,PROVED,POTENTIALLY ORIGINAL ELEMENTARY COROLLARY; SEARCH REQUIRED,Finite posets with distinguished feasible minimum-label sets,DEDICATED NOVELTY SEARCH REQUIRED,audits/a8_1_exact_results/a8_1_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a8_1_exact_results/a8_1_theorem.md,"Independent exhaustive enumeration gives N_rep(5)=5,234.","Minimum vertex represents each SCC; labels are 0,...,n-1.","The old 5,234 result exactly counts the declared intermediate code.","Calling 5,234 the number of full labeled condensation structures.",COMBINATORIAL ONLY,COMBINATORICS,KEEP AS CORRECTIVE PROPOSITION,P0,IN_REPOSITORY,
MF-R009,Encoding non-injectivity,Minimum-representative code is not injective,"Different SCC partitions can have the same set of SCC minima and the same quotient order, hence the representative code can collapse distinct full labeled preorders.",A8.1,A8.1 canonical,CONSTRUCTIVE_COUNTEREXAMPLE,PROVED,PROJECT-SPECIFIC CORRECTIVE RESULT,Information loss under quotient encodings,NOVELTY CLAIM NOT CENTRAL,audits/a8_1_exact_results/a8_1_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a8_1_exact_results/a8_1_theorem.md,"Explicit pair plus complete fiber accounting: 5,234 codes represent 6,942 full structures.",The original representative encoding.,The earlier wording was ambiguous because the implementation discarded SCC membership information.,Calling the discrepancy fabrication or treating all A8 outputs as invalid.,COMBINATORIAL / REPRODUCIBILITY,COMBINATORICS + ERRATUM,KEEP PROMINENTLY AS CORRECTION,P0,IN_REPOSITORY,
MF-R010,Exact n=5 counts,Three distinct equivalence levels at n=5,"For loopless labeled digraphs on five vertices: 6,942 full labeled reachability preorders, 5,234 minimum-representative codes, and 139 unlabeled preorder classes.",A8.1,A8.1 canonical,EXACT_ENUMERATION,EXACT_FINITE_COMPUTATION,ORIGINAL REPRODUCTION / CORRECTIVE ENUMERATION,Finite preorder enumeration,PRIOR COUNTS SHOULD BE CROSS-CHECKED,audits/a8_1_exact_results/a8_1_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a8_1_exact_results/a8_1_summary.json,All 2^20 loopless labeled digraphs enumerated; independent closed formulas reproduce two labeled counts.,n=5 only.,These exact finite counts distinguish three well-defined quotient levels.,An asymptotic result or a physical prediction.,COMBINATORIAL ONLY,COMBINATORICS,KEEP AS CORE DATA TABLE,P0,IN_REPOSITORY,
