audit_id,title,protocol_path,script,summary,seed,expected_verdict,claims,validation_mode
A08_1,"Formal Resolution of 5,234 versus 6,942",protocols/A08_1.yaml,audits/a8_1_condensation_code_resolution.py,audits/a8_1_exact_results/a8_1_summary.json,,PASS_FORMAL_RESOLUTION_5234_REPRESENTATIVE_CODES_6942_FULL_LABELED_PREORDERS,MF-R005;MF-R006;MF-R007;MF-R008;MF-R009;MF-R010;MF-R011,verdict_and_gates
A09,Relational Clock Audit,protocols/A09.yaml,audits/a9_relational_clock_audit.py,audits/a9_exact_results/a9_summary.json,,,MF-R012;MF-R013,metric_snapshot
A10,Internal Duration Audit,protocols/A10.yaml,audits/a10_internal_duration_audit.py,audits/a10_exact_results/a10_summary.json,,,MF-R014;MF-R015,metric_snapshot
A18_2,Exact Order-Measure Identifiability Limit,protocols/A18_2.yaml,audits/a18_2_order_measure_identifiability.py,audits/a18_2_exact_results/a18_summary.json,20260721,PASS_EXACT_ORDER_MEASURE_IDENTIFIABILITY_LIMIT_ROBUST,MF-R023;MF-R025,verdict_and_gates
A19,Ensemble Copula Identifiability Limit,protocols/A19.yaml,audits/a19_ensemble_copula_identifiability.py,audits/a19_exact_results/a19_summary.json,20260722,PASS_ENSEMBLE_COPULA_IDENTIFIABILITY_LIMIT,MF-R024;MF-R025,verdict_and_gates
A23,RZS q Primitive and Gauge Audit,protocols/A23.yaml,audits/a23_rzs_q_primitive_gauge_audit.py,audits/a23_exact_results/a23_summary.json,20260726,PASS_RZS_Q_PRIMITIVE_AND_GAUGE_AUDIT,MF-R028;MF-R029;MF-R030,verdict_and_gates
A24_1,Corrected q Operationalization Audit,protocols/A24_1.yaml,audits/a24_1_q_operational_origin_audit.py,audits/a24_1_exact_results/a24_summary.json,20260728,PASS_Q_OPERATIONALIZATION_CRITERIA_WITH_CALIBRATION_LIMIT_CORRECTED,MF-R031;MF-R032,verdict_and_gates
A28,q Score Selection and Context-Scale Incompatibility,protocols/A28.yaml,audits/a28_q_score_selection_audit.py,audits/a28_exact_results/a28_summary.json,20260801,PASS_SCORE_CONTEXT_SCALE_INCOMPATIBILITY_NO_GO,MF-R036,verdict_and_gates
A31,Microscopic Multiplicity and Finite Refinement Measure,protocols/A31.yaml,audits/a31_microscopic_multiplicity_audit.py,audits/a31_exact_results/a31_summary.json,20260805,PASS_REFINEMENT_TREE_MEASURE_PATH_INDEPENDENT_BUT_ONTOLOGY_UNDERDETERMINED,MF-R040;MF-R045,verdict_and_gates
A32,"Infinite Refinement, Projective Limits, and Terminality",protocols/A32.yaml,audits/a32_infinite_refinement_audit.py,audits/a32_exact_results/a32_summary.json,20260806,PASS_INFINITE_PROJECTIVE_MEASURE_WITH_TERMINALITY_UNDERDETERMINED,MF-R041;MF-R042,verdict_and_gates
A33,Projective Branch Fraction Law,protocols/A33.yaml,audits/a33_projective_fraction_law_audit.py,audits/a33_exact_results/a33_summary.json,20260807,PASS_PROJECTIVE_RATIO_LAW_WITH_TERMINAL_WEIGHT_UNDERDETERMINATION,MF-R043;MF-R044;MF-R045,verdict_and_gates
A34,Effective Score Closure Audit,protocols/A34.yaml,audits/a34_effective_score_closure_audit.py,audits/a34_exact_results/a34_summary.json,20260808,PASS_STATIC_EFFECTIVE_SCORE_WITH_DYNAMIC_CLOSURE_OBSTRUCTION,MF-R046;MF-R047;MF-R048;MF-R049;MF-R050,verdict_and_gates
A35,Conditional Gaussian Closure Audit,protocols/A35.yaml,audits/a35_gaussian_closure_audit.py,audits/a35_exact_results/a35_summary.json,20260808,PASS_GAUSSIAN_CLOSURE_CONDITIONAL_ON_INNOVATION_LAW,MF-R051;MF-R052,verdict_and_gates
A36_1,Corrected Gaussian Noise Selection Diagnostic,protocols/A36_1.yaml,audits/a36_1_gaussian_noise_selection_corrective.py,audits/a36_1_exact_results/a36_1_summary.json,20260810,PASS_CORRECTED_CLT_DIAGNOSTIC_GAUSSIAN_SELECTION_REMAINS_CONDITIONAL,MF-R053;MF-R054,verdict_and_gates
A37_1,Corrected Noise-Law Universality Audit,protocols/A37_1.yaml,audits/a37_1_noise_universality_corrective.py,audits/a37_1_exact_results/a37_summary.json,20260811,PASS_CORRECTED_PARTIAL_NOISE_UNIVERSALITY_WITH_MOMENT_AND_DEPENDENCE_LIMITS,MF-R054;MF-R055;MF-R056;MF-R057,verdict_and_gates
A38_1,Corrected Observable-Relative Coarse-Graining Audit,protocols/A38_1.yaml,audits/a38_1_rzs_coarse_graining_corrective.py,audits/a38_1_exact_results/a38_summary.json,20260813,PASS_CORRECTED_OBSERVABLE_RELATIVE_COARSE_GRAINING_WITH_OCCUPANCY_OBSTRUCTION,MF-R058;MF-R059;MF-R060;MF-R061;MF-R062;MF-R063,verdict_and_gates
